id,status,slug,platform,durationSeconds,title,hook,dialogue,evidence
"DGR-VM-001","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-human-question","TikTok","18","First run: Human question — live vs installed","You might be wondering, “The first-run wizard changes its explanation between the live trial and an installed system.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “The first-run wizard changes its explanation between the live trial and an installed system.” Let’s look at the actual screen and the limitation that goes with it.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-002","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-screen-first","Instagram Reels","14","First run: Screen first — live vs installed","Here it is on a running Dagric system: The first-run wizard changes its explanation between the live trial and an installed system.","Here it is on a running Dagric system: The first-run wizard changes its explanation between the live trial and an installed system.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-003","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-three-beats","YouTube Shorts","24","First run: Three-beat explainer — live vs installed","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. The first-run wizard changes its explanation between the live trial and an installed system.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-004","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-owner-scenario","Snapchat Spotlight","30","First run: Owner scenario — live vs installed","Imagine this is the PC you already use.","Imagine this is the PC you already use. The first-run wizard changes its explanation between the live trial and an installed system. Here is the cautious way to try it.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-005","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-myth-check","TikTok","20","First run: Myth check — live vs installed","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: The first-run wizard changes its explanation between the live trial and an installed system.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-006","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-quiet-demo","Instagram Reels","12","First run: Quiet demo — live vs installed","Watch the workflow.","Watch the workflow. The first-run wizard changes its explanation between the live trial and an installed system.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-007","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-proof-card","YouTube Shorts","16","First run: Proof card — live vs installed","The first-run wizard changes its explanation between the live trial and an installed system.","The first-run wizard changes its explanation between the live trial and an installed system. The evidence path is included below so you can check it.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-008","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-before-you-install","Snapchat Spotlight","27","First run: Before you install — live vs installed","Before you install anything, this is worth checking on your own hardware: The first-run wizard changes its explanation between the live trial and an installed system.","Before you install anything, this is worth checking on your own hardware: The first-run wizard changes its explanation between the live trial and an installed system.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-009","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-honest-limitation","TikTok","22","First run: Honest limitation — live vs installed","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. The first-run wizard changes its explanation between the live trial and an installed system. We will show both.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-010","SCRIPTED_WAITING_FOR_VM_FOOTAGE","live-vs-installed-founder-voice","Instagram Reels","36","First run: Founder-style voice — live vs installed","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. The first-run wizard changes its explanation between the live trial and an installed system. Here is the real interface, not a mockup.","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"DGR-VM-011","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-human-question","YouTube Shorts","18","Appearance: Human question — appearance auto revert","You might be wondering, “Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.” Let’s look at the actual screen and the limitation that goes with it.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-012","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-screen-first","Snapchat Spotlight","14","Appearance: Screen first — appearance auto revert","Here it is on a running Dagric system: Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","Here it is on a running Dagric system: Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-013","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-three-beats","TikTok","24","Appearance: Three-beat explainer — appearance auto revert","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-014","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-owner-scenario","Instagram Reels","30","Appearance: Owner scenario — appearance auto revert","Imagine this is the PC you already use.","Imagine this is the PC you already use. Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds. Here is the cautious way to try it.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-015","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-myth-check","YouTube Shorts","20","Appearance: Myth check — appearance auto revert","This is not a promise that every machine behaves the same.","This is not a promise that every machine behaves the same. What Dagric actually documents is: Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-016","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-quiet-demo","Snapchat Spotlight","12","Appearance: Quiet demo — appearance auto revert","Watch the workflow.","Watch the workflow. Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-017","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-proof-card","TikTok","16","Appearance: Proof card — appearance auto revert","Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds. The evidence path is included below so you can check it.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-018","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-before-you-install","Instagram Reels","27","Appearance: Before you install — appearance auto revert","Before you install anything, this is worth checking on your own hardware: Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","Before you install anything, this is worth checking on your own hardware: Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-019","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-honest-limitation","YouTube Shorts","22","Appearance: Honest limitation — appearance auto revert","The useful feature is real, and so is the boundary.","The useful feature is real, and so is the boundary. Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds. We will show both.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-020","SCRIPTED_WAITING_FOR_VM_FOOTAGE","appearance-auto-revert-founder-voice","Snapchat Spotlight","36","Appearance: Founder-style voice — appearance auto revert","We built this for people who want to understand what their computer is doing.","We built this for people who want to understand what their computer is doing. Appearance previews are not kept until Keep is pressed, and an unconfirmed change reverts after twenty seconds. Here is the real interface, not a mockup.","docs/EDITIONS.md — Dagric Appearance"
"DGR-VM-021","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-human-question","TikTok","18","Appearance: Human question — styles and layouts","You might be wondering, “Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.” Let’s look at the actual screen and the limitation that goes with it.","You might be wondering, “Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.” Let’s look at the actual screen and the limitation that goes with it.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-022","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-screen-first","Instagram Reels","14","Appearance: Screen first — styles and layouts","Here it is on a running Dagric system: Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","Here it is on a running Dagric system: Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-023","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-three-beats","YouTube Shorts","24","Appearance: Three-beat explainer — styles and layouts","Three quick beats: what it is, where it lives, and what you should verify yourself.","Three quick beats: what it is, where it lives, and what you should verify yourself. Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace.","docs/EDITIONS.md — Dagric OS (free)"
"DGR-VM-024","SCRIPTED_WAITING_FOR_VM_FOOTAGE","styles-and-layouts-owner-scenario","Snapchat Spotlight","30","Appearance: Owner scenario — styles and layouts","Imagine this is the PC you already use.","Imagine this is the PC you already use. Free includes four styles and Pro includes seven; layouts change the arrangement without rebuilding the workspace. Here is the cautious way to try it.","docs/EDITIONS.md — Dagric OS (free)"
