id,status,slug,platform,scheduler,publishAtAmericaChicago,durationSeconds,title,caption
"DGR-001","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-plain-answer","TikTok","Buffer","2026-09-27T09:00:00","12","Your computer may still have years left. — Plain answer","Plain answer: Switching: here is the plain answer. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #PC"
"DGR-004","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-three-point-check","Snapchat Spotlight","Later","2026-09-29T20:00:00","30","Your computer may still have years left. — Three-point check","Three-point check: Three things to verify about switching. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a s…"
"DGR-002","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-show-the-screen","Instagram Reels","Later","2026-09-30T18:00:00","18","Your computer may still have years left. — Show the screen","Show the screen: Do not take our word for it—look at switching on the actual desktop. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-003","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-before-you-switch","YouTube Shorts","Publer","2026-10-02T16:00:00","24","Your computer may still have years left. — Before you switch","Before you switch: Before you switch a PC, check this: windows 10 support ended. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-005","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-claim-and-proof","TikTok","Later","2026-10-04T09:00:00","15","Your computer may still have years left. — Claim and proof","Claim and proof: Your computer may still have years left. Here is the proof path. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #PC"
"DGR-008","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-owner-story","Snapchat Spotlight","Later","2026-10-06T20:00:00","36","Your computer may still have years left. — Owner story","Owner story: Imagine this is the PC you already own. Windows 10 support ended. Your computer may still have years left. Dagric OS is designed for people moving…"
"DGR-006","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-common-question","Instagram Reels","Publer","2026-10-07T18:00:00","21","Your computer may still have years left. — Common question","Common question: A common Dagric question: your computer may still have years left. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-007","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-decision-guide","YouTube Shorts","Buffer","2026-10-09T16:00:00","27","Your computer may still have years left. — Decision guide","Decision guide: Is this the right choice for your PC? Start with switching. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-009","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-plain-answer","TikTok","Publer","2026-10-11T09:00:00","18","No product telemetry. No crash reports. — Plain answer","Plain answer: Privacy: here is the plain answer. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #Linux #PC"
"DGR-012","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-three-point-check","Snapchat Spotlight","Later","2026-10-13T20:00:00","15","No product telemetry. No crash reports. — Three-point check","Three-point check: Three things to verify about privacy. No product telemetry. No crash reports. Update and firmware checks are documented separately in the pr…"
"DGR-010","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-show-the-screen","Instagram Reels","Buffer","2026-10-14T18:00:00","24","No product telemetry. No crash reports. — Show the screen","Show the screen: Do not take our word for it—look at privacy on the actual desktop. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #LinuxDesktop #PC"
