id,status,slug,platform,scheduler,publishAtAmericaChicago,durationSeconds,title,caption
"DGR-001","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-plain-answer","TikTok","Buffer","2026-09-27T09:00:00","12","Your computer may still have years left. — Plain answer","Plain answer: Switching: here is the plain answer. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #PC"
"DGR-007","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-decision-guide","YouTube Shorts","Buffer","2026-10-09T16:00:00","27","Your computer may still have years left. — Decision guide","Decision guide: Is this the right choice for your PC? Start with switching. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-010","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-show-the-screen","Instagram Reels","Buffer","2026-10-14T18:00:00","24","No product telemetry. No crash reports. — Show the screen","Show the screen: Do not take our word for it—look at privacy on the actual desktop. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-013","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-claim-and-proof","TikTok","Buffer","2026-10-18T09:00:00","21","No product telemetry. No crash reports. — Claim and proof","Claim and proof: No product telemetry. No crash reports. Here is the proof path. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #Linux #PC"
"DGR-019","SCRIPTED_NOT_RENDERED","no-dagric-account-before-you-switch","YouTube Shorts","Buffer","2026-10-30T16:00:00","15","No Dagric account required. — Before you switch","Before you switch: Before you switch a PC, check this: start the computer. No Dagric account required. The desktop works without asking a server for permission. There is no Dagric advertising ID. Your machine, your login: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-022","SCRIPTED_NOT_RENDERED","no-dagric-account-common-question","Instagram Reels","Buffer","2026-11-04T18:00:00","36","No Dagric account required. — Common question","Common question: A common Dagric question: no dagric account required. No Dagric account required. The desktop works without asking a server for permission. There is no Dagric advertising ID. Your machine, your login: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-025","SCRIPTED_NOT_RENDERED","check-this-pc-plain-answer","TikTok","Buffer","2026-11-08T09:00:00","30","Ask the USB about your actual hardware. — Plain answer","Plain answer: Hardware: here is the plain answer. Ask the USB about your actual hardware. Check This PC reports on networking, graphics, sound, firmware, storage, battery, camera, and printers. Nothing is installed while it checks: https://dagric.com #DagricOS #Linux #PC"
"DGR-031","SCRIPTED_NOT_RENDERED","check-this-pc-decision-guide","YouTube Shorts","Buffer","2026-11-20T16:00:00","18","Ask the USB about your actual hardware. — Decision guide","Decision guide: Is this the right choice for your PC? Start with hardware. Ask the USB about your actual hardware. Check This PC reports on networking, graphics, sound, firmware, storage, battery, camera, and printers. Nothing is installed while it checks: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-034","SCRIPTED_NOT_RENDERED","try-live-usb-first-show-the-screen","Instagram Reels","Buffer","2026-11-25T18:00:00","21","Use Dagric before you install it. — Show the screen","Show the screen: Do not take our word for it—look at try first on the actual desktop. Use Dagric before you install it. Browse, open files, test Wi-Fi, and inspect the desktop while Windows remains untouched on the disk. Remove the USB to return to Windows: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-037","SCRIPTED_NOT_RENDERED","try-live-usb-first-claim-and-proof","TikTok","Buffer","2026-11-29T09:00:00","12","Use Dagric before you install it. — Claim and proof","Claim and proof: Use Dagric before you install it. Here is the proof path. Use Dagric before you install it. Browse, open files, test Wi-Fi, and inspect the desktop while Windows remains untouched on the disk. Remove the USB to return to Windows: https://dagric.com #DagricOS #Linux #PC"
