feature,shot,instruction,evidence
"live-vs-installed","1","Boot the live ISO to the first-run screen","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"live-vs-installed","2","Record the live-trial wording","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"live-vs-installed","3","Cut to the installed-system wording","docs/FIELD-NOTES-2026-08-15.md — zram section, final paragraph"
"appearance-auto-revert","1","Open Dagric Appearance","docs/EDITIONS.md — Dagric Appearance"
"appearance-auto-revert","2","Apply a visibly different style","docs/EDITIONS.md — Dagric Appearance"
"appearance-auto-revert","3","Let the undo countdown revert the preview","docs/EDITIONS.md — Dagric Appearance"
"styles-and-layouts","1","Open the Styles gallery","docs/EDITIONS.md — Dagric OS (free)"
"styles-and-layouts","2","Show the Free and Pro labels without implying locked accessibility","docs/EDITIONS.md — Dagric OS (free)"
"styles-and-layouts","3","Switch to the Layouts tab","docs/EDITIONS.md — Dagric OS (free)"
"wallpaper-packs","1","Open the wallpaper grid","docs/EDITIONS.md — Dagric OS (free)"
"wallpaper-packs","2","Move through branded and Clean pairs","docs/EDITIONS.md — Dagric OS (free)"
"wallpaper-packs","3","Apply one preview and return to the original","docs/EDITIONS.md — Dagric OS (free)"
"accessible-live-boot","1","Boot to the ISO menu","docs/EDITIONS.md — Accessibility"
"accessible-live-boot","2","Highlight the screen-reader entry","docs/EDITIONS.md — Accessibility"
"accessible-live-boot","3","Do not claim the SDDM login screen speaks","docs/EDITIONS.md — Accessibility"
"screen-reader-shortcut","1","Open the Accessibility page","docs/EDITIONS.md — Accessibility"
"screen-reader-shortcut","2","Show the Screen Reader launcher entry","docs/EDITIONS.md — Accessibility"
"screen-reader-shortcut","3","Display the shortcut text without claiming an audio test","docs/EDITIONS.md — Accessibility"
"high-contrast-style","1","Open Styles","docs/EDITIONS.md — Accessibility"
"high-contrast-style","2","Preview High Contrast","docs/EDITIONS.md — Accessibility"
"high-contrast-style","3","Show representative text and desktop-icon contrast","docs/EDITIONS.md — Accessibility"
"offline-help","1","Disconnect the VM network","docs/FIELD-NOTES-2026-08-15.md — What already works"
"offline-help","2","Open the User Guide from the Hub","docs/FIELD-NOTES-2026-08-15.md — What already works"
"offline-help","3","Search for a familiar Windows app name","docs/FIELD-NOTES-2026-08-15.md — What already works"
"task-manager-shortcut","1","Show the desktop","docs/EDITIONS.md — The first hour"
"task-manager-shortcut","2","Press Ctrl+Shift+Esc","docs/EDITIONS.md — The first hour"
"task-manager-shortcut","3","Record Task Manager opening","docs/EDITIONS.md — The first hour"
"wayland-x11-rescue","1","Open the SDDM session chooser","docs/EDITIONS.md — Sessions"
"wayland-x11-rescue","2","Show Wayland and X11 entries","docs/EDITIONS.md — Sessions"
"wayland-x11-rescue","3","Explain that display scaling helper behavior differs on X11","docs/EDITIONS.md — Sessions"
"snapshot-pairs","1","Open a terminal only inside the VM capture session","docs/TEST-REPORT.md — Snapshot recovery; docs/FIELD-NOTES-2026-08-15.md"
"snapshot-pairs","2","Show the snapshot list after an update","docs/TEST-REPORT.md — Snapshot recovery; docs/FIELD-NOTES-2026-08-15.md"
"snapshot-pairs","3","Reboot to the GRUB snapshot submenu without performing a destructive rollback","docs/TEST-REPORT.md — Snapshot recovery; docs/FIELD-NOTES-2026-08-15.md"
"software-store-install","1","Open Discover","docs/FIELD-NOTES-2026-08-15.md — What already works"
"software-store-install","2","Choose a small test application","docs/FIELD-NOTES-2026-08-15.md — What already works"
"software-store-install","3","Stop before or safely complete installation in the disposable VM","docs/FIELD-NOTES-2026-08-15.md — What already works"
"printing-and-scanning","1","Open printer settings","docs/TEST-REPORT.md — Gap analysis; docs/FIELD-NOTES-2026-08-15.md"
"printing-and-scanning","2","Show the PDF queue","docs/TEST-REPORT.md — Gap analysis; docs/FIELD-NOTES-2026-08-15.md"
"printing-and-scanning","3","Open the scanner app and state that real-device validation is still needed","docs/TEST-REPORT.md — Gap analysis; docs/FIELD-NOTES-2026-08-15.md"
"firmware-updates","1","Open Discover updates","docs/TEST-REPORT.md — Gap analysis"
"firmware-updates","2","Show the firmware area if the VM exposes it","docs/TEST-REPORT.md — Gap analysis"
"firmware-updates","3","State that availability depends on the actual hardware vendor","docs/TEST-REPORT.md — Gap analysis"
"vpn-import","1","Open Network settings","docs/TEST-REPORT.md — Gap analysis"
"vpn-import","2","Open Add Connection","docs/TEST-REPORT.md — Gap analysis"
"vpn-import","3","Show the VPN import choices without entering credentials","docs/TEST-REPORT.md — Gap analysis"
"media-codecs","1","Open a Dagric-owned sample video","docs/FIELD-NOTES-2026-08-15.md — What already works"
"media-codecs","2","Show playback controls","docs/FIELD-NOTES-2026-08-15.md — What already works"
"media-codecs","3","Use the measured plugin count only with its test-date context","docs/FIELD-NOTES-2026-08-15.md — What already works"
"office-font-fidelity","1","Open Writer","docs/TEST-REPORT.md — Gap analysis; docs/FIELD-NOTES-2026-08-15.md"
"office-font-fidelity","2","Show the installed Carlito and Caladea families","docs/TEST-REPORT.md — Gap analysis; docs/FIELD-NOTES-2026-08-15.md"
"office-font-fidelity","3","Avoid claiming perfect document fidelity","docs/TEST-REPORT.md — Gap analysis; docs/FIELD-NOTES-2026-08-15.md"
"fingerprint-and-thermal","1","Open user or authentication settings","docs/TEST-REPORT.md — Gap analysis"
"fingerprint-and-thermal","2","Show the fingerprint option only if exposed by the VM","docs/TEST-REPORT.md — Gap analysis"
"fingerprint-and-thermal","3","Use an on-screen note that hardware support varies","docs/TEST-REPORT.md — Gap analysis"
"zram-measurement","1","Record the Memory view","docs/FIELD-NOTES-2026-08-15.md — zram"
"zram-measurement","2","Show the zram measurement source","docs/FIELD-NOTES-2026-08-15.md — zram"
"zram-measurement","3","Label this as one measured system, not a universal result","docs/FIELD-NOTES-2026-08-15.md — zram"
"idle-memory-measurement","1","Open Task Manager","docs/FIELD-NOTES-2026-08-15.md — memory number"
"idle-memory-measurement","2","Show the quiet desktop","docs/FIELD-NOTES-2026-08-15.md — memory number"
"idle-memory-measurement","3","Overlay the PSS methodology and test context","docs/FIELD-NOTES-2026-08-15.md — memory number"
"iso-to-usb-writer","1","Open Files to a copied test ISO","docs/FIELD-NOTES-2026-08-15.md — Fixed this session"
"iso-to-usb-writer","2","Double-click the ISO","docs/FIELD-NOTES-2026-08-15.md — Fixed this session"
"iso-to-usb-writer","3","Record USB Writer opening; do not select a real drive","docs/FIELD-NOTES-2026-08-15.md — Fixed this session"
"phone-integration","1","Open KDE Connect","docs/FIELD-NOTES-2026-08-15.md — Bluetooth correction"
"phone-integration","2","Show the pairing screen","docs/FIELD-NOTES-2026-08-15.md — Bluetooth correction"
"phone-integration","3","State that a real phone is required for end-to-end verification","docs/FIELD-NOTES-2026-08-15.md — Bluetooth correction"
"image-formats","1","Open Files to Dagric-owned WebP and TIFF samples","docs/FIELD-NOTES-2026-08-15.md — What already works"
"image-formats","2","Open each in the image viewer","docs/FIELD-NOTES-2026-08-15.md — What already works"
"image-formats","3","Avoid implying support for every image codec","docs/FIELD-NOTES-2026-08-15.md — What already works"
"apparmor-firewall","1","Open Security Checkup","docs/EDITIONS.md — Security baseline"
"apparmor-firewall","2","Show firewall status","docs/EDITIONS.md — Security baseline"
"apparmor-firewall","3","Keep the apparmor-profiles complain-mode qualification in the caption","docs/EDITIONS.md — Security baseline"
"opensnitch-monitor","1","Open OpenSnitch","docs/EDITIONS.md — Security Suite"
"opensnitch-monitor","2","Show monitor mode","docs/EDITIONS.md — Security Suite"
"opensnitch-monitor","3","Do not enable blocking during the marketing capture","docs/EDITIONS.md — Security Suite"
"usbguard-consent","1","Open the USB Protection helper","docs/EDITIONS.md — Security Suite"
"usbguard-consent","2","Record the explanation and consent screen","docs/EDITIONS.md — Security Suite"
"usbguard-consent","3","Do not arm USBGuard in the capture VM unless input recovery is guaranteed","docs/EDITIONS.md — Security Suite"
"creator-suite","1","Open the creator-app section of the launcher","docs/TEST-REPORT.md — verified binaries; docs/EDITIONS.md — Creator suite"
"creator-suite","2","Launch two or three apps one at a time","docs/TEST-REPORT.md — verified binaries; docs/EDITIONS.md — Creator suite"
"creator-suite","3","Use only Dagric-owned sample media","docs/TEST-REPORT.md — verified binaries; docs/EDITIONS.md — Creator suite"
