id,status,slug,platform,scheduler,publishAtAmericaChicago,durationSeconds,title,caption
"DGR-003","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-before-you-switch","YouTube Shorts","Publer","2026-10-02T16:00:00","24","Your computer may still have years left. — Before you switch","Before you switch: Before you switch a PC, check this: windows 10 support ended. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-006","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-common-question","Instagram Reels","Publer","2026-10-07T18:00:00","21","Your computer may still have years left. — Common question","Common question: A common Dagric question: your computer may still have years left. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-009","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-plain-answer","TikTok","Publer","2026-10-11T09:00:00","18","No product telemetry. No crash reports. — Plain answer","Plain answer: Privacy: here is the plain answer. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #Linux #PC"
"DGR-015","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-decision-guide","YouTube Shorts","Publer","2026-10-23T16:00:00","36","No product telemetry. No crash reports. — Decision guide","Decision guide: Is this the right choice for your PC? Start with privacy. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-018","SCRIPTED_NOT_RENDERED","no-dagric-account-show-the-screen","Instagram Reels","Publer","2026-10-28T18:00:00","30","No Dagric account required. — Show the screen","Show the screen: Do not take our word for it—look at ownership on the actual desktop. No Dagric account required. The desktop works without asking a server for permission. There is no Dagric advertising ID. Your machine, your login: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-021","SCRIPTED_NOT_RENDERED","no-dagric-account-claim-and-proof","TikTok","Publer","2026-11-01T09:00:00","27","No Dagric account required. — Claim and proof","Claim and proof: No Dagric account required. Here is the proof path. No Dagric account required. The desktop works without asking a server for permission. There is no Dagric advertising ID. Your machine, your login: https://dagric.com #DagricOS #Linux #PC"
"DGR-027","SCRIPTED_NOT_RENDERED","check-this-pc-before-you-switch","YouTube Shorts","Publer","2026-11-13T16:00:00","21","Ask the USB about your actual hardware. — Before you switch","Before you switch: Before you switch a PC, check this: before installation. Ask the USB about your actual hardware. Check This PC reports on networking, graphics, sound, firmware, storage, battery, camera, and printers. Nothing is installed while it checks: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-030","SCRIPTED_NOT_RENDERED","check-this-pc-common-question","Instagram Reels","Publer","2026-11-18T18:00:00","12","Ask the USB about your actual hardware. — Common question","Common question: A common Dagric question: ask the usb about your actual hardware. Ask the USB about your actual hardware. Check This PC reports on networking, graphics, sound, firmware, storage, battery, camera, and printers. Nothing is installed while it checks: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-033","SCRIPTED_NOT_RENDERED","try-live-usb-first-plain-answer","TikTok","Publer","2026-11-22T09:00:00","15","Use Dagric before you install it. — Plain answer","Plain answer: Try first: here is the plain answer. Use Dagric before you install it. Browse, open files, test Wi-Fi, and inspect the desktop while Windows remains untouched on the disk. Remove the USB to return to Windows: https://dagric.com #DagricOS #Linux #PC"
"DGR-039","SCRIPTED_NOT_RENDERED","try-live-usb-first-decision-guide","YouTube Shorts","Publer","2026-12-04T16:00:00","24","Use Dagric before you install it. — Decision guide","Decision guide: Is this the right choice for your PC? Start with try first. Use Dagric before you install it. Browse, open files, test Wi-Fi, and inspect the desktop while Windows remains untouched on the disk. Remove the USB to return to Windows: https://dagric.com #DagricOS #Linux #Shorts"
