id,status,slug,platform,scheduler,publishAtAmericaChicago,durationSeconds,title,caption
"DGR-004","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-three-point-check","Snapchat Spotlight","Later","2026-09-29T20:00:00","30","Your computer may still have years left. — Three-point check","Three-point check: Three things to verify about switching. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a s…"
"DGR-002","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-show-the-screen","Instagram Reels","Later","2026-09-30T18:00:00","18","Your computer may still have years left. — Show the screen","Show the screen: Do not take our word for it—look at switching on the actual desktop. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-005","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-claim-and-proof","TikTok","Later","2026-10-04T09:00:00","15","Your computer may still have years left. — Claim and proof","Claim and proof: Your computer may still have years left. Here is the proof path. Your computer may still have years left. Dagric OS is designed for people moving a working PC to a supported, familiar desktop. Try the live desktop first: https://dagric.com #DagricOS #Linux #PC"
"DGR-008","SCRIPTED_NOT_RENDERED","windows-10-pc-still-works-owner-story","Snapchat Spotlight","Later","2026-10-06T20:00:00","36","Your computer may still have years left. — Owner story","Owner story: Imagine this is the PC you already own. Windows 10 support ended. Your computer may still have years left. Dagric OS is designed for people moving…"
"DGR-012","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-three-point-check","Snapchat Spotlight","Later","2026-10-13T20:00:00","15","No product telemetry. No crash reports. — Three-point check","Three-point check: Three things to verify about privacy. No product telemetry. No crash reports. Update and firmware checks are documented separately in the pr…"
"DGR-011","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-before-you-switch","YouTube Shorts","Later","2026-10-16T16:00:00","30","No product telemetry. No crash reports. — Before you switch","Before you switch: Before you switch a PC, check this: what the installed os sends us. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #Linux #Shorts"
"DGR-016","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-owner-story","Snapchat Spotlight","Later","2026-10-20T20:00:00","12","No product telemetry. No crash reports. — Owner story","Owner story: Imagine this is the PC you already own. What the installed OS sends us. No product telemetry. No crash reports. Update and firmware checks are doc…"
"DGR-014","SCRIPTED_NOT_RENDERED","zero-dagric-telemetry-common-question","Instagram Reels","Later","2026-10-21T18:00:00","27","No product telemetry. No crash reports. — Common question","Common question: A common Dagric question: no product telemetry. no crash reports. No product telemetry. No crash reports. Update and firmware checks are documented separately in the privacy policy. Read the privacy details: https://dagric.com #DagricOS #LinuxDesktop #PC"
"DGR-017","SCRIPTED_NOT_RENDERED","no-dagric-account-plain-answer","TikTok","Later","2026-10-25T09:00:00","24","No Dagric account required. — Plain answer","Plain answer: Ownership: here is the plain answer. No Dagric account required. The desktop works without asking a server for permission. There is no Dagric advertising ID. Your machine, your login: https://dagric.com #DagricOS #Linux #PC"
"DGR-020","SCRIPTED_NOT_RENDERED","no-dagric-account-three-point-check","Snapchat Spotlight","Later","2026-10-27T20:00:00","21","No Dagric account required. — Three-point check","Three-point check: Three things to verify about ownership. No Dagric account required. The desktop works without asking a server for permission. There is no Da…"
